id,track_name,artists_name,artist_count,released_year,released_month,released_day
97,Say Yes To Heaven,Lana Del Rey,1,2023,3,17
98,Snooze,SZA,1,2022,12,9
99,Summertime Sadness,Lana Del Rey,1,2011,1,1
100,Take Two,BTS,1,2023,6,9
101,Lover,Taylor Swift,1,2012,1,1
102,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2
103,Chemical,Post Malone,1,2023,4,14
104,Mockingbird,Eminem,1,2004,1,1
105,New Jeans,NewJeans,1,2023,7,7
106,Primera Cita,Carin Leon,1,2022,4,20
107,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10
108,Dandelions,Ruth B.,1,2017,4,28
109,Bones,Imagine Dragons,1,2021,3,11
110,Set Fire to the Rain,Adele,1,2011,1,1
111,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1
112,Tak Segampang Itu,Anggi Marito,1,2022,12,2
113,LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22
114,Mine (Taylor's Version),Taylor Swift,1,2023,7,7
115,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17
116,No Role Modelz,J. Cole,1,2014,12,9
117,Tattoo,Loreen,1,2023,2,25
118,Rara Vez,"Taiu, Milo j",2,2023,2,8
119,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12
120,august,Taylor Swift,1,2020,7,24
121,LUNA,"Junior H, Peso Pluma",2,2023,6,22
122,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10
123,Nonsense,Sabrina Carpenter,1,2022,7,15
124,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9
125,Por las Noches,Peso Pluma,1,2021,6,11
126,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19
127,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16
128,Watermelon Sugar,Harry Styles,1,2019,11,17
129,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11
130,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21
131,Queencard,(G)I-DLE,1,2023,5,15
132,OMG,NewJeans,1,2023,1,2
133,Radio,Lana Del Rey,1,2011,1,1
